regulon,mean_RI,max_RI,std_RI,mean_AUC,max_AUC,n_active_cell_types,rank,lineage
ERG_+,,,,0.001386913606557377,0.059561329,1,200,Global
FOXP3_+,,,,0.00428695331147541,0.084730997,4,201,Global
GATA2_+,,,,0.0009708903770491803,0.049896979,1,202,Global
TCF7L1_+,,,,0.0019017635081967214,0.030504987,2,203,Global
FOXM1_+,0.014063143770763962,0.22241062684947657,0.04057756464137794,0.00848625982142857,0.121662806,4,1,T_cell
FOXP3_+,0.013544079275766239,0.14428951639484838,0.03198778768836212,0.008425503821428572,0.084730997,4,2,T_cell
ETV7_+,0.013390380193511237,0.12392195532058892,0.02938659871755883,0.00583583692857143,0.051451201,3,3,T_cell
E2F7_+,0.013093159330617141,0.1370024626113708,0.02389920468824285,0.009287857,0.08934022,1,4,T_cell
BCL6_+,0.013009857490957748,0.11843612246318207,0.021815786437833294,0.0021496274285714287,0.018213941,1,5,T_cell
ZNF367_+,0.012862357419197097,0.10663350880064151,0.018084056423242605,0.010461335428571429,0.080767619,3,6,T_cell
BNC2_+,0.012734263915662833,0.05115116201435155,0.013726708216379306,0.028297297357142853,0.110912993,14,7,T_cell
PLAG1_+,0.012711052414379656,0.052931827154256296,0.01288998709190018,0.009453350535714286,0.038272735,8,8,T_cell
HES6_+,0.012708708793974224,0.043572107259845026,0.012774433338956621,0.029135035928571428,0.098037888,15,9,T_cell
MYBL2_+,0.012685787415505698,0.06885569633823153,0.011987976624509055,0.027028775035714287,0.140041566,26,10,T_cell
E2F8_+,0.012683800128004482,0.07457702829275463,0.011963913795207596,0.01501131357142857,0.083747359,28,11,T_cell
SOX13_+,0.012672499932193602,0.040056194643840484,0.011317180462607716,0.05621706346428572,0.174534504,28,12,T_cell
RORC_+,0.012644380037807736,0.05345444122492429,0.010080869221978933,0.012280167107142859,0.050181267,14,13,T_cell
TFEC_+,0.01260516142993495,0.03244011298780241,0.007916417922681818,0.006366877678571427,0.016134869,5,14,T_cell
GFI1_+,0.012601946028790336,0.029754203311975223,0.007725216074304026,0.06651047271428571,0.1550244,28,15,T_cell
ZBTB16_+,0.012601297975855491,0.02541777652350916,0.007673274867860653,0.03495003728571429,0.069902734,25,16,T_cell
TFDP2_+,0.012596382610593993,0.03183657139412653,0.0073755678764369816,0.035922354142857146,0.089396063,28,17,T_cell
VDR_+,0.012592904680335252,0.02957655505836467,0.007129025870606667,0.017106820035714284,0.039642251,21,18,T_cell
EOMES_+,0.012591734856896792,0.027775136138591536,0.00705735182009368,0.06332560371428572,0.138065664,28,19,T_cell
E2F2_+,0.012590771087488828,0.04873821023142423,0.007053979670168979,0.019453367642857145,0.072832345,28,20,T_cell
IKZF2_+,0.012588520421542055,0.03172804741990835,0.0068368581807179835,0.017878261964285713,0.044344998,20,21,T_cell
EHF_+,0.012582916340431283,0.021759384951732172,0.0064164497481511125,0.007616182785714285,0.013089928,10,22,T_cell
E2F3_+,0.01258225758151753,0.026631297421999964,0.006376218608932692,0.05285537214285714,0.110622965,28,23,T_cell
MYBL1_+,0.012581936386742624,0.02693892914773788,0.006354085801187389,0.060443896714285725,0.127925891,28,24,T_cell
TBX21_+,0.01258183837891036,0.028093673382796742,0.006348892389567153,0.047175617607142846,0.103999978,28,25,T_cell
LEF1_+,0.012579819305009954,0.025601377013881748,0.006185713247437114,0.021428896392857142,0.043160812,24,26,T_cell
EBF4_+,0.012566826671467936,0.029291995226078758,0.005089729639882645,0.01995389632142857,0.045808474,28,27,T_cell
NR1D1_+,0.01256520379236467,0.02481998614976418,0.004921482980799697,0.03578369217857143,0.069930114,28,28,T_cell
ARID5B_+,0.012564129236892757,0.023752989106588348,0.0048138728411482295,0.05467111203571429,0.102360696,28,29,T_cell
FOSL2_+,0.012563877786917197,0.023014429191815962,0.004792416155981723,0.061831101214285714,0.11225255,28,30,T_cell
BHLHE40_+,0.012563757770129802,0.02324858254928929,0.0047807880348297435,0.0630792265,0.115655585,28,31,T_cell
BACH2_+,0.012561622404645882,0.02260164379366492,0.004558634061714254,0.020655066000000003,0.036841831,27,32,T_cell
ASCL2_+,0.01256089256954894,0.023287825717393552,0.004485507086192128,0.08152041085714286,0.149713662,28,33,T_cell
SMAD1_+,0.012560103880499397,0.02497815776467736,0.004400350329970345,0.010045881571428572,0.019753995,10,34,T_cell
RUNX3_+,0.01255742210501457,0.021932519869937127,0.004094550240114542,0.06107349014285714,0.105783201,28,35,T_cell
