eRegulon,stability_class,mean_RI,rank,mean_abs_age_rho,median_abs_age_rho,mean_age_rho,n_tests,n_significant
LYL1_+_(459g),intermediate,0.0013394547347842,125,0.06755683296617898,0.052806859090553,0.03531574198268079,61,19
AHR_+_(290g),intermediate,0.0013346503722171,126,0.16819496487189328,0.170788425119804,0.15741153329422758,61,44
ZBTB18_+_(264g),intermediate,0.0012764215547092,127,0.07370274426456822,0.0654536814040942,0.01863164023322995,61,26
ARID3A_+_(664g),intermediate,0.0012656835883466,128,0.08957079006587022,0.0885896977064197,0.07519079170537661,61,29
IRF7_+_(893g),intermediate,0.0012400760596429,129,0.0945387000340563,0.0862318668308295,0.0852561004246086,61,31
ETV6_+_(670g),intermediate,0.0012330509666991,130,0.0874042630095443,0.0826177738838405,0.07212365701065747,61,31
ZBTB16_+_(24g),intermediate,0.0012280270014127,131,0.09646022401108428,0.0748746273047041,-0.020775562110946694,61,28
MAFB_+_(592g),intermediate,0.0012244850402526,132,0.06017321529308324,0.0472708572728862,-0.010447748219526924,61,17
ZBTB10_+_(60g),intermediate,0.0012149641694868,133,0.07488312629850487,0.0719925712122869,-0.053702480007465095,61,21
MAFG_+_(76g),intermediate,0.0012090246771734,134,0.10466537674873048,0.103535142757008,0.09948178670477267,61,38
JDP2_+_(606g),intermediate,0.0011959486098259,135,0.06258455057456604,0.0533464285424456,-0.0444578864497074,61,21
PLAGL2_+_(288g),intermediate,0.0011742672712849,136,0.11295658526637421,0.115828069144,0.10620646454998975,61,38
TFDP2_+_(389g),intermediate,0.0011738243395673,137,0.19293330760330873,0.194605515801832,0.19183249656741258,61,52
NCOA3_extended_+_(18g),intermediate,0.0011500682570737,138,0.08352842530380684,0.0744067338886517,0.07402823553191865,61,27
E2F3_+_(60g),intermediate,0.0011372720818742,139,0.08981435484585541,0.0706212045521074,0.07402943677813911,61,25
ZNF467_+_(372g),intermediate,0.001130314924768,140,0.051922430827723395,0.0413356201614785,0.020423574190580943,61,9
BNC2_+_(133g),intermediate,0.0011043034894926,141,0.12698860427767397,0.114089052005475,0.12604186890081212,61,40
ELK3_+_(401g),intermediate,0.0011006923762229,142,0.11081033798758984,0.0901802020497751,0.012747774947000561,61,36
ZFY_extended_+_(11g),intermediate,0.0010961207238828,143,0.02983226713248552,0.0268492804452712,0.012176298757935373,61,7
CREB1_+_(531g),intermediate,0.0010895560297831,144,0.0728940036108679,0.0632983037072383,0.055166265655907265,61,19
NFE2_+_(507g),intermediate,0.0010487410907156,145,0.08072846916176277,0.0847447233828952,-0.07144182209305164,61,31
HES6_extended_+_(53g),intermediate,0.0010354294540865,146,0.12188551359870745,0.10920411281566,0.12150536476189179,61,40
RFX5_+_(487g),intermediate,0.0010306223882445,147,0.19848710854312998,0.201324449344321,0.1962196609718416,61,49
CREB5_+_(120g),intermediate,0.0010172762726587,148,0.05464480621434753,0.041043674891831,-0.0051464860170377606,61,18
TCF7L2_+_(490g),intermediate,0.0009879525760907,149,0.14433050368424702,0.137776434875335,0.14311480395044912,61,48
BCL11A_+_(818g),intermediate,0.0009660985622704,150,0.1901803125652172,0.162158478686068,0.18812471530377853,61,51
HLX_+_(14g),intermediate,0.0009549803334768,151,0.08571090255184388,0.071610374211956,-0.05979459415020156,61,25
TCF3_+_(750g),intermediate,0.0009328809854481,152,0.0686790608614324,0.0583812186410095,0.01178875836817273,61,19
ZNF770_+_(263g),destabilizer,0.000920411933039,153,0.0597557094900875,0.0611262706306152,-0.003957621029471118,61,15
IRF8_+_(931g),destabilizer,0.0008798657454362,154,0.16151407290436623,0.164402656558065,0.1572794807239591,61,43
ZNF107_extended_+_(68g),destabilizer,0.0008791005035944,155,0.07884969637693386,0.0654213425682814,0.04741305921068358,61,20
MYBL2_+_(17g),destabilizer,0.0008670973482435,156,0.08744032257852158,0.0750534160607926,0.0692088095797039,61,23
BHLHE41_+_(226g),destabilizer,0.0008604876551693,157,0.0529863273605,0.0523014217499102,0.021015683495367213,61,13
RUNX2_+_(434g),destabilizer,0.0008325382569401,158,0.0770919362231884,0.0584841197773012,-0.05432928890927698,61,26
MEF2C_+_(80g),destabilizer,0.0008179704953067,159,0.0877571905622783,0.0801485607692022,0.03143698588748385,61,26
EBF1_+_(310g),destabilizer,0.0008032339638296,160,0.1105296823415404,0.0917182058784497,0.08339553121831728,61,32
SMAD1_+_(115g),destabilizer,0.0008001066872032,161,0.07749330481208576,0.0742780646218264,0.0712120233291791,61,22
TFEC_extended_+_(32g),destabilizer,0.0007978591605662,162,0.06840347024057697,0.0637595184564883,0.01627461574355004,61,22
PAX5_+_(300g),destabilizer,0.000789988422175,163,0.10037130942565893,0.0767632720636796,0.06062967801198513,61,30
SPIB_+_(724g),destabilizer,0.0007779591750372,164,0.16414620017350937,0.155623294191141,0.15976839927651532,61,42
PLAGL1_+_(60g),destabilizer,0.0007699458240835,165,0.07911587651674501,0.073808055024687,0.06421630154994099,61,27
BACH2_+_(193g),destabilizer,0.0007588188754103,166,0.09734149209446957,0.088165458997419,-0.06335979530754894,61,30
NR1D1_+_(104g),destabilizer,0.0007503704870923,167,0.15079613830448835,0.155492159625504,-0.1397229932473926,61,42
ZSCAN18_extended_+_(115g),destabilizer,0.0006797833993278,168,0.07759437429453679,0.0607122584663547,-0.059763233436530366,61,25
E2F2_+_(227g),destabilizer,0.0006710201004842,169,0.11032484789868689,0.110487934118341,0.0917172433241577,61,37
PRDM4_+_(110g),destabilizer,0.0006569379391862,170,0.0734827578860845,0.0645733726979352,0.028577621754328344,61,21
TCF4_+_(783g),destabilizer,0.000649645340724,171,0.17050872411323678,0.145252467460569,0.1678768321983784,61,46
SOX4_+_(116g),destabilizer,0.0006275988431841,172,0.07592840906073446,0.0612001006767676,-0.04168619925361783,61,16
KLF8_+_(293g),destabilizer,0.0006189283141346,173,0.11575778574292192,0.0857617424372154,0.08163136453164695,61,32
