regulon,mean_RI,std_RI,max_RI,min_RI,rank,stability_class
MAF_+,0.002341537630479165,0.0008554232399483452,0.0038857587881959443,0.0010496355324195218,45,stabilizer
BBX_+,0.002324317710684797,0.0009301724305963847,0.004087321763379324,0.0006854019674488891,46,stabilizer
NR1D2_+,0.002322297220651298,0.0009187252364308228,0.00428639296961197,0.0006877424107886912,47,stabilizer
ETS1_+,0.002309507900500678,0.0006894820364292403,0.0036436303071580734,0.0010593682010071334,48,stabilizer
XBP1_+,0.0022619814471939764,0.0009532269118375343,0.00618659627780589,0.0011048791500171931,49,stabilizer
MAX_+,0.002260930957710856,0.000506844670254828,0.003271269533723776,0.0012613864665737531,50,stabilizer
MXD1_+,0.00225438668118671,0.0010349127052443733,0.004569565081313299,0.0012404719877409068,51,stabilizer
MAFF_+,0.0022190492860138526,0.0009717855644911312,0.005556552935588722,0.0012708128623988516,52,intermediate
KLF11_+,0.002183399085747927,0.0008088940839260852,0.004806766414481655,0.0013715940524447567,53,intermediate
MXI1_+,0.002163203582526042,0.0009953818700437214,0.003947218694874513,0.0008314076853529936,54,intermediate
ZBTB20_+,0.002125094165367593,0.0010766700713862765,0.004550639137426147,0.000514271465647336,55,intermediate
BHLHE40_+,0.002116612510618573,0.0007963238671606592,0.0040785549799438724,0.0011149269980672324,56,intermediate
FOSL2_+,0.002113520909586879,0.0008254123066115253,0.004303115047703209,0.000947755311501562,57,intermediate
PRDM1_+,0.0021022136734091504,0.0008503209528524783,0.00429476261926801,0.0008503407879133337,58,intermediate
ZNF33A_+,0.0020999867145988973,0.0007046611879416368,0.0034601983056345245,0.0007061666298525519,59,intermediate
STAT1_+,0.002099919580328854,0.0005322540917755033,0.0035895132355758764,0.0012007337929498248,60,intermediate
NFATC2_+,0.002066158636923219,0.000784514607976688,0.004160216257549237,0.0011999016319033107,61,intermediate
ZNF224_+,0.002057147953129133,0.0005394390402639671,0.0030457423948265982,0.0010026825610710357,62,intermediate
FOS_+,0.0020548200272558896,0.0006220126299087269,0.004009801582328732,0.0014626990699409597,63,intermediate
BPTF_+,0.0020514468624116336,0.0006494141035059906,0.0033651024002893373,0.000711675775380472,64,intermediate
SMAD3_+,0.002046326894659802,0.000693812130692035,0.003088020148384169,0.0008079749440793038,65,intermediate
ZBTB7A_+,0.0020381406530685883,0.0004956342444681092,0.003721281351439356,0.001529747062303059,66,intermediate
IRF1_+,0.0019971232320873987,0.0004696008388923869,0.0032211607226394095,0.0013595744619973003,67,intermediate
PBX4_+,0.0019911393942379997,0.0012825768375269427,0.0038197046699520593,0.0003318834571375184,68,intermediate
RARA_+,0.0019667533090863888,0.0010096655076409537,0.005062027011549424,0.0012210875789912055,69,intermediate
RORA_+,0.0019416062116272058,0.001016783734380425,0.0035930440916874,0.0005505301642371057,70,intermediate
ELF1_+,0.001894231755021233,0.0004746857415306092,0.002601694198015929,0.0008205977128408271,71,intermediate
IKZF1_+,0.0018823458988977567,0.0004604725117191265,0.0026641385346973107,0.0008680768615794349,72,intermediate
TFEB_+,0.0018763918691358903,0.0009513306314521295,0.003690067720779643,0.0007665232211561332,73,intermediate
RUNX3_+,0.001874271407953433,0.0007893698754624204,0.00391717581367533,0.0010074365748164746,74,intermediate
REL_+,0.0018740092262723577,0.0006268146674982246,0.003197016764353502,0.0010570808702327283,75,intermediate
GFI1_+,0.001867185656203202,0.0014615998353156674,0.005562782243243437,0.00041898656530261374,76,intermediate
ZBTB4_+,0.001862841976831592,0.0007743020481852562,0.0030680605531330715,0.0005158037993819054,77,intermediate
NFATC3_+,0.001820491481980848,0.0005741183238366752,0.002879732654714505,0.0008074334306893614,78,intermediate
KLF12_+,0.0018059629632226153,0.000959282932242144,0.0031356906350760174,0.00029258462956466486,79,intermediate
