gene,magnitude,uniformity,sparsity,gini,non_additivity,n_celltypes,mean_abs_beta,max_abs_beta
VCL,2.506320811531893,0.0,0.4057971014492754,0.1609002177115686,1.0,28,0.45569649071428575,0.7556226
VCPKMT,1.9472116830676414,0.0,0.3188405797101449,0.15177454177953176,1.0,22,0.3985457909090909,0.7051583
VDAC1,0.8233704554857281,0.0,0.10144927536231885,0.16282851331493364,1.0,7,0.29773755142857145,0.45218363
VENTX,1.1180438024353383,0.0,0.057971014492753624,0.16410513100918322,1.0,4,0.5359751175,0.75650984
VGLL4,1.0527207168896133,0.0,0.08695652173913043,0.07976434676458122,1.0,6,0.4253510216666667,0.51337725
AL161421.1,1.4839036369034706,0.0,0.2028985507246377,0.09488214838949882,1.0,14,0.3888847828571428,0.6314521
AL355075.4,3.4014117234920955,0.0,0.2898550724637681,0.15469375776310956,1.0,20,0.7319509705,1.1726823
AL355304.1,0.962146966570721,0.0,0.07246376811594203,0.15370260119495027,1.0,5,0.414247152,0.60533255
AL355581.1,1.3875576337439033,0.0,0.057971014492753624,0.12441615958554553,1.0,4,0.6755275974999999,0.9277354
AL355816.2,0.6708491410595081,0.0,0.07246376811594203,0.04448751864386846,1.0,5,0.299031288,0.32930306
AL355916.1,1.2462803752126879,0.0,0.11594202898550725,0.17308301772608203,1.0,8,0.42038964624999997,0.6756649
AL365272.1,1.6231789590496792,0.0,0.13043478260869565,0.10221078821027874,1.0,9,0.5319045055555556,0.6883767
VIRMA,0.8382870752629431,0.0,0.13043478260869565,0.06899233573084529,1.0,9,0.2772452988888888,0.3493611
USP48,0.8470747003955196,0.0,0.11594202898550725,0.13668005012496476,1.0,8,0.291152325,0.4083452
UTP25,2.3298062834810964,0.0,0.3188405797101449,0.15221944457857628,1.0,22,0.47898124454545443,0.8201584
UTRN,0.8156677339989704,0.0,0.057971014492753624,0.18415901084130204,1.0,4,0.38438948249999993,0.60549057
UVSSA,2.0915004795268963,0.0,0.3333333333333333,0.12853535970961993,1.0,23,0.4247995478260869,0.6640207
UXS1,0.8440050101910401,0.0,0.11594202898550725,0.06576834500473194,1.0,8,0.2953619775,0.4015581
VAMP1,2.806041625075476,0.0,0.5217391304347826,0.11987050947389677,1.0,36,0.4576630658333333,0.6629489
AL365361.1,1.6058275827859099,0.0,0.2898550724637681,0.13853407476250257,1.0,20,0.3484204255,0.47545668
AL513548.1,2.42935955752682,0.0,0.10144927536231885,0.06888358925293558,1.0,7,0.9106766800000001,1.1249839
AL513550.1,1.4624903535421008,0.0,0.10144927536231885,0.12906164752027482,1.0,7,0.53895089,0.7407008
AL590226.2,1.3586907477421364,0.0,0.057971014492753624,0.15113008315631138,1.0,4,0.6555774200000001,0.88141555
AL592148.3,0.6845651393030906,0.0,0.07246376811594203,0.05942148819402315,1.0,5,0.303874732,0.3752377
