gene,n_celltypes,magnitude,uniformity,non_additivity,sparsity,gini
USP1,3,0.5316768175421156,0.19923032612258873,0.9700087594159704,0.9565217391304348,0.963401011108012
DCLRE1C,3,0.6170013694089533,0.1993786875099082,0.9700017484311292,0.9565217391304348,0.9637256930353418
AC023449.2,3,0.7482599001085781,0.19851194622633145,0.9699877236497608,0.9565217391304348,0.9632319484436145
GINS2,3,0.792547687976927,0.19947276789459278,0.9699729922875137,0.9565217391304348,0.9634850030439842
PPP1R14B,3,0.6028757305216295,0.19948952947565207,0.9699645748256288,0.9565217391304348,0.9636483887125398
CDC40,3,0.6046077693215619,0.19937220064819514,0.9699357650811161,0.9565217391304348,0.9637548078389886
BRWD1-IT1,3,0.6005900333477295,0.19921346392284772,0.9699133470339031,0.9565217391304348,0.963299840581954
SNHG14,3,0.4707190245393739,0.19937366429598125,0.9699092001021692,0.9565217391304348,0.963344644863564
RPL38,3,0.6343715431025634,0.19953874065295793,0.9699040474671167,0.9565217391304348,0.9636514636901216
RTN3,3,1.0715361361065325,0.19858909194462915,0.9698675183907676,0.9565217391304348,0.9631525926647447
GGA3,3,0.7397144589628719,0.1992661057107246,0.9698616964504422,0.9565217391304348,0.9632653411937192
HSP90AB1,3,0.8344981938587386,0.19860587511949063,0.9697824812311435,0.9565217391304348,0.9630929269269266
N4BP2L2,3,0.461330954770755,0.19972338854189953,0.9696808983667766,0.9565217391304348,0.9632257039636982
ATP2B1,3,0.7380926530313368,0.199897055461175,0.9696381941900254,0.9565217391304348,0.9635095272611436
SLC39A3,3,0.6503497031312623,0.1999939020045221,0.9695934014955683,0.9565217391304348,0.9632553181865974
AL499604.1,3,0.47730616062453635,0.19996513855511885,0.9695100374331916,0.9565217391304348,0.9631314993616411
SLC16A5,3,0.90476562181181,0.1997537610070823,0.9694225914593124,0.9565217391304348,0.9629920007499386
EXOC2,3,0.570259584574634,0.1999209478482913,0.9693894835926534,0.9565217391304348,0.9630009334659092
RC3H2,3,0.568769467817267,0.2002179619956916,0.9693688199951785,0.9565217391304348,0.9630779262836077
NCAM1,3,0.46742235377328867,0.20043294194520658,0.9693119410298454,0.9565217391304348,0.9631852863238651
IRS1,3,1.8849374121934923,0.1957624038734746,0.9692881961110545,0.9565217391304348,0.9645536299902728
LSM4,3,0.6792584794584362,0.20028700853561518,0.9691819792689961,0.9565217391304348,0.9633744567081457
PPP6R3,3,0.6489875006017214,0.20008027204174475,0.9691484288569645,0.9565217391304348,0.9628323355783792
EAF1-AS1,3,0.7089806927512842,0.2005760139146953,0.9690897400488098,0.9565217391304348,0.9632343745074705
RNF167,3,0.43555601143484785,0.20058723559428093,0.9690665043809472,0.9565217391304348,0.9632323846185492
RNF227,3,1.5349466647830796,0.19969063142616433,0.9690430675501325,0.9565217391304348,0.9635616416223886
CHSY1,3,1.0149702088132848,0.1988833295685359,0.9690317554822296,0.9565217391304348,0.9637720399127359
ADGRA3,3,0.8694093885614498,0.2008611892288927,0.9689327156782105,0.9565217391304348,0.9628702135877236
PTPN18,3,0.5986150129730214,0.1998140601474206,0.9689113045070445,0.9565217391304348,0.9634959255136311
AATBC,3,0.5403407498772778,0.20088901391210065,0.968907752624229,0.9565217391304348,0.9628533615353384
PGAP3,3,0.5456611803522861,0.20043128727497606,0.9687249676707533,0.9565217391304348,0.9625676323959317
SIAH2,4,0.7875168942053401,0.21707022314475014,0.9687144113526263,0.9420289855072463,0.9560585196649715
TAF4,3,0.6134438777603708,0.20084108825068606,0.9686246009963908,0.9565217391304348,0.9625626805348423
TTF2,3,0.7394087774407893,0.20042198549992937,0.9686192522234867,0.9565217391304348,0.9624904477213174
MEOX1,3,0.5958802097674714,0.2008139246964984,0.9686099807143534,0.9565217391304348,0.9625456403967451
SCMH1,3,0.8365383891166747,0.2013215847432735,0.968609561051229,0.9565217391304348,0.9628543618308342
PCYOX1,3,0.6011986429099024,0.201088597599196,0.968576684844666,0.9565217391304348,0.9625814385215019
ANKRD13A,3,0.6764937738881459,0.20096300581039006,0.9685759878072016,0.9565217391304348,0.9625493432129326
PSMF1,3,0.7201693044886129,0.20141419186988418,0.9685522196454183,0.9565217391304348,0.9627820005291472
MARCKS,3,0.8408875432707982,0.2014047619990447,0.9685258300215887,0.9565217391304348,0.9626640217533996
BTBD11,3,0.6518964752465477,0.20048204582830464,0.968513750569697,0.9565217391304348,0.9624245681409719
